% Gap, Bellmania-generated code vs. CO, COZ, LOOPDP (Intel Compiler, 6-core Intel i7)
n/Time(s)       Bellmania       CO            COZ             LOOPDP     
18000			364.359			365			237.734			8572.41
16384			202.14			281.938			179.562			6732.53
16300			207.907			272.031			176.828			6137.7
12000			101.734			108.235			70.844			2257.66
8192			26			35.422			22.812			656.266
6000			13.031			13.813			9.109			216
4096			3.547			4.562			3			55.765
3000			1.75			1.859			1.234			18.703
2048			0.547			0.656			0.422			5.312
1024			0.109			0.125			0.079			0.563
